資源彙整機關,收容所編號,收容所名稱,收容所鄉鎮市區,收容所村里,地址,管理人,連絡電話,收容人數,X坐標,Y坐標,備註,最後更新時間,,,,,
花蓮縣政府,,吉安國小,吉安鄉,,花蓮縣吉安鄉吉安村吉安路二段97號,,03-8523126-167,,307273.612,2652193.274,,20201001,,,,,
花蓮縣政府,,仁安活動中心,吉安鄉,,花蓮縣吉安鄉仁安村南海三街71號,,03-8523126-167,,310741.944,2649797.544,,20201001,,,,,
花蓮縣政府,,勝安活動中心,吉安鄉,,花蓮縣吉安鄉勝安村慈惠一街30號,,03-8523126-167,,309695.11,2652435.82,,20201001,,,,,
花蓮縣政府,,南華活動中心,吉安鄉,,花蓮縣吉安鄉南華村南華四街123號,,03-8523126-167,,306122.558,2649906.555,,20201001,,,,,
花蓮縣政府,,太昌活動中心,吉安鄉,,花蓮縣吉安鄉太昌村太昌路488號,,03-8523126-167,,307376.934,2654433.405,,20201001,,,,,
花蓮縣政府,,永安活動中心,吉安鄉,,花蓮縣吉安鄉永安村太昌路488號,,03-8523126-167,,308096.98,2654027.94,,20201001,,,,,
花蓮縣政府,,宜昌活動中心,吉安鄉,,花蓮縣吉安鄉宜昌村吉祥六街52巷9號,,03-8523126-167,,309355.206,2652457.3,,20201001,,,,,
花蓮縣政府,,南昌活動中心,吉安鄉,,花蓮縣吉安鄉南昌村文化七街64號,,03-8523126-167,,309003.5,2651862.42,,20201001,,,,,
花蓮縣政府,,慶豐活動中心,吉安鄉,,花蓮縣吉安鄉慶豐村慶北一街237號,,03-8523126-167,,307376.608,2653175.231,,20201001,,,,,
花蓮縣政府,,吉安活動中心,吉安鄉,,花蓮縣吉安鄉吉安村中興路355巷7號,,03-8523126-167,,307402.597,2652197.648,,20201001,,,,,
花蓮縣政府,,福興活動中心,吉安鄉,,花蓮縣吉安鄉福興村福德街1號,,03-8523126-167,,307242.354,2651727.88,,20201001,,,,,
花蓮縣政府,,干城活動中心,吉安鄉,,花蓮縣吉安鄉干城村干城一街97巷1號,,03-8523126-167,,305468.722,2649301.386,,20201001,,,,,
花蓮縣政府,,仁里活動中心,吉安鄉,,花蓮縣吉安鄉仁里村仁里五街1號,,03-8523126-167,,310295.306,2651653.477,,20201001,,,,,
花蓮縣政府,,稻香活動中心,吉安鄉,,花蓮縣吉安鄉稻香村慶豐路79號,,03-8523126-167,,308535.615,2651265.444,,20201001,,,,,
花蓮縣政府,,永興活動中心,吉安鄉,,花蓮縣吉安鄉永興村永興七街86號,,03-8523126-167,,307842.688,2650158.984,,20201001,,,,,
花蓮縣政府,,北昌活動中心,吉安鄉,,花蓮縣吉安鄉南華村南華四街123號,,03-8523126-167,,306122.558,2649906.555,,20201001,,,,,
花蓮縣政府,,仁和活動中心,吉安鄉,,花蓮縣吉安鄉仁和村南海三街314號,,03-8523126-167,,309806.139,2650304.973,,20201001,,,,,
花蓮縣政府,,東昌活動中心,吉安鄉,,花蓮縣吉安鄉東昌村東海六街74號,,03-8523126-167,,310641.386,2651358.768,,20201001,,,,,
