災民收容所名稱,管理人電話,收容所縣市,收容所鄉鎮,收容所地址
汴洲老人活動中心,3469051,桃園市,桃園區,桃園區莊敬路1段71號
永康市民活動中心,"3375713
0952-702722",桃園市,桃園區,桃園區中正五街315號
三元忠義市民活動中心,3388263,桃園市,桃園區,桃園區三元街289號2樓
三民市民活動中心,3330301,桃園市,桃園區,桃園區中山東路128號
大林市民活動中心,"3639988
0953-610177",桃園市,桃園區,桃園區大原路31號
中山市民活動中心,"03-3611518
0915084928",桃園市,桃園區,桃園區國際路一段575號
中德市民活動中心,"3765858
0928-870198",桃園市,桃園區,桃園區國際路一段687巷61號
五中市民活動中心,2200639,桃園市,桃園區,桃園區中平路118號
文昌市民活動中心,0933952795,桃園市,桃園區,桃園區民族路110號 (三、四樓)
同安市民活動中心,3256272,桃園市,桃園區,桃園區新埔六街140號2樓
瑞慶市民活動中心(原同德市民活動中心),3021077,桃園市,桃園區,桃園區永安北路500號
西埔市民活動中心,0926395689,桃園市,桃園區,桃園區富國路681巷22號
汴洲市民活動中心,"3254919
0932096092",桃園市,桃園區,桃園區峨嵋二街26號
東埔市民活動中心,"3351772
0958564958",桃園市,桃園區,桃園區信光路55號
長青學苑,"3361367
0916816191",桃園市,桃園區,桃園區民權路32號7樓
青溪市民活動中心,"3357800
0906016094",桃園市,桃園區,桃園區鎮撫街41號
南門市民活動中心,"2188382
0923111706",桃園市,桃園區,桃園區三民路三段268號
建國雲林市民活動中心,"3610068
0933776908",桃園市,桃園區,桃園區建成街88號(一、二樓)
春日市民活動中心,"3179695
0927280888",桃園市,桃園區,桃園區至善街133號
桃園區公所禮堂,3346475,桃園市,桃園區,桃園區縣府路7號4樓
莊敬市民活動中心,"3347208
0972623868",桃園市,桃園區,桃園區新埔七街169巷13號
朝陽北門市民活動中心,"3378009
0916038412",桃園市,桃園區,桃園區朝陽街63號
陽明公園市民活動中心,"3710601
0910925355",桃園市,桃園區,桃園區介壽路199號
陽明綜合市民活動中心,"3772986
0921916766",桃園市,桃園區,桃園區陽明三街33號
新埔市民活動中心,0931553101,桃園市,桃園區,桃園區南通路65號
會稽市民活動中心,3347208、3464042,桃園市,桃園區,桃園區興一街65巷50號
福林市民活動中心,"3710601
0910-925355",桃園市,桃園區,桃園區東勇北路20號
龍岡市民活動中心,"03-3792560
0937-101388",桃園市,桃園區,桃園區國豐二街6號
寶興市民活動中心,"03-3267179
0920-472085",桃園市,桃園區,桃園區民有三街501號
新埔國小,"(03)3162972
＃513",桃園市,桃園區,桃園區經國路208巷36號
大業國小,"(03)3337771
＃511",桃園市,桃園區,桃園區大業路一段135號
建德國小,(03)3660688＃510,桃園市,桃園區,桃園區延平路265號
武陵高中,(03)3698170＃400,桃園市,桃園區,桃園區中山路889號
大有國小,(03)3577715＃510,桃園市,桃園區,桃園區大有路220號
大有國中,(03)2613297＃510,桃園市,桃園區,桃園區大有路215號
快樂國小,(03)3580001＃510,桃園市,桃園區,桃園區大有路789號
會稽國中,(03)3551496＃510,桃園市,桃園區,桃園區大興路222 號
會稽國小,(03)3252982＃510,桃園市,桃園區,桃園區春日路1080號
同安國小,(03)3269251＃511,桃園市,桃園區,桃園區同德11街48號
莊敬國小,(03)3020784＃510,桃園市,桃園區,桃園區莊一街107 號
同德國中,(03)2628955＃510,桃園市,桃園區,桃園區南平路487號
同德國小,(03)3176403＃531,桃園市,桃園區,桃園區同德六街175號
中埔國小,(03)3013028＃510,桃園市,桃園區,桃園區永安路1054號
經國國中,(03)3572699＃110,桃園市,桃園區,桃園區經國路276號
永順國小,(03)3024221＃510,桃園市,桃園區,桃園區永順街100號
慈文國中,(03)3269340＃510,桃園市,桃園區,桃園區中正路835號
慈文國小,(03)3175755＃510,桃園市,桃園區,桃園區新埔六街2號
北門國小,(03)3250959＃520,桃園市,桃園區,桃園區正康三街139號
文昌國中,(03)3552776＃510,桃園市,桃園區,桃園區民生路729號
桃園高中,(03)3946001＃6003,桃園市,桃園區,桃園區成功路三段38號
青溪國中,(03)3392400＃510,桃園市,桃園區,桃園區中山東路124號
青溪國小,(03)3347883＃510,桃園市,桃園區,桃園區自強路80號
東門國小,(03)3322057＃500,桃園市,桃園區,桃園區東國街14號
桃園國小,(03)3322268＃510,桃園市,桃園區,桃園區民權路67號
成功國小,(03)3322772＃511,桃園市,桃園區,桃園區三民路三段22號
桃園國中,(03) 3358282＃510,桃園市,桃園區,桃園區莒光街2號
西門國小,(03)3342351＃51,桃園市,桃園區,桃園區莒光街15號
南門國小,(03)3370576＃510,桃園市,桃園區,桃園區復興路303號
文山國小,(03)3601400＃511,桃園市,桃園區,桃園區文中路120號
中興國中,(03)3694315＃531,桃園市,桃園區,桃園區文中路122號
建國國小,(03)3636660＃510,桃園市,桃園區,桃園區昆明路95號
